iter	Passed	Remaining
0	174	174072
1	189	94426
2	203	67522
3	216	54025
4	229	45686
5	242	40217
6	256	36418
7	269	33370
8	282	31068
9	293	29025
10	306	27544
11	319	26319
12	333	25304
13	348	24512
14	354	23246
15	367	22588
16	380	22002
17	394	21536
18	408	21115
19	422	20687
20	435	20289
21	452	20096
22	470	19973
23	484	19722
24	496	19372
25	502	18831
26	513	18519
27	524	18216
28	532	17843
29	544	17594
30	554	17339
31	564	17077
32	575	16876
33	584	16602
34	595	16409
35	605	16223
36	614	15980
37	625	15833
38	634	15641
39	643	15450
40	655	15328
41	664	15156
42	674	15007
43	685	14884
44	694	14736
45	706	14651
46	719	14582
47	731	14507
48	743	14422
49	758	14403
50	771	14363
51	785	14312
52	798	14267
53	811	14219
54	823	14150
55	836	14105
56	850	14078
57	864	14034
58	877	13994
59	889	13933
60	903	13908
61	919	13908
62	933	13884
63	947	13857
64	960	13815
65	973	13781
66	986	13732
67	1000	13707
68	1015	13703
69	1030	13696
70	1043	13650
71	1055	13608
72	1065	13535
73	1077	13488
74	1088	13426
75	1096	13337
76	1108	13281
77	1120	13246
78	1133	13213
79	1145	13178
80	1159	13154
81	1172	13126
82	1185	13093
83	1196	13046
84	1209	13023
85	1223	12999
86	1236	12971
87	1249	12948
88	1260	12902
89	1273	12878
90	1287	12856
91	1300	12837
92	1312	12798
93	1325	12771
94	1338	12750
95	1354	12750
96	1367	12734
97	1380	12708
98	1390	12659
99	1404	12637
100	1417	12613
101	1428	12579
102	1440	12546
103	1453	12523
104	1464	12485
105	1474	12437
106	1486	12409
107	1500	12390
108	1512	12367
109	1525	12342
110	1537	12317
111	1552	12307
112	1566	12292
113	1579	12275
114	1592	12255
115	1604	12231
116	1617	12205
117	1629	12182
118	1642	12156
119	1654	12133
120	1667	12113
121	1679	12086
122	1692	12070
123	1706	12053
124	1719	12033
125	1732	12014
126	1745	11997
127	1758	11978
128	1772	11967
129	1785	11946
130	1794	11903
131	1806	11876
132	1815	11833
133	1824	11791
134	1836	11766
135	1847	11734
136	1857	11701
137	1869	11680
138	1882	11660
139	1893	11630
140	1906	11612
141	1918	11593
142	1930	11571
143	1942	11548
144	1956	11537
145	1972	11538
146	1985	11519
147	1996	11490
148	2004	11449
149	2015	11423
150	2024	11380
151	2034	11352
152	2045	11323
153	2053	11283
154	2065	11258
155	2073	11218
156	2083	11187
157	2093	11154
158	2101	11115
159	2111	11086
160	2120	11048
161	2130	11022
162	2141	10998
163	2152	10971
164	2166	10962
165	2179	10951
166	2193	10940
167	2204	10918
168	2215	10895
169	2228	10881
170	2241	10865
171	2253	10849
172	2266	10832
173	2280	10823
174	2293	10813
175	2306	10798
176	2318	10782
177	2331	10764
178	2344	10751
179	2357	10738
180	2370	10726
181	2384	10717
182	2398	10709
183	2412	10700
184	2426	10690
185	2441	10683
186	2454	10672
187	2468	10661
188	2480	10645
189	2493	10630
190	2507	10619
191	2520	10606
192	2533	10592
193	2545	10574
194	2558	10561
195	2572	10551
196	2587	10545
197	2600	10532
198	2613	10518
199	2625	10501
200	2637	10486
201	2651	10475
202	2665	10463
203	2679	10454
204	2691	10439
205	2704	10423
206	2717	10411
207	2731	10400
208	2744	10388
209	2757	10373
210	2770	10358
211	2784	10350
212	2796	10332
213	2806	10308
214	2815	10281
215	2826	10260
216	2838	10241
217	2850	10226
218	2863	10210
219	2877	10202
220	2891	10191
221	2904	10178
222	2916	10161
223	2930	10151
224	2944	10140
225	2957	10127
226	2970	10116
227	2984	10105
228	2996	10089
229	3009	10076
230	3023	10066
231	3036	10053
232	3049	10039
233	3061	10021
234	3075	10010
235	3089	10000
236	3102	9988
237	3115	9976
238	3128	9962
239	3141	9948
240	3155	9939
241	3169	9929
242	3184	9919
243	3200	9915
244	3214	9905
245	3226	9890
246	3238	9871
247	3251	9860
248	3265	9848
249	3277	9833
250	3291	9821
251	3303	9805
252	3317	9793
253	3331	9784
254	3345	9774
255	3358	9761
256	3372	9750
257	3384	9732
258	3397	9720
259	3412	9711
260	3428	9708
261	3442	9696
262	3456	9687
263	3469	9673
264	3482	9658
265	3495	9645
266	3508	9632
267	3522	9620
268	3534	9605
269	3546	9588
270	3560	9576
271	3576	9571
272	3593	9568
273	3606	9555
274	3616	9534
275	3625	9510
276	3640	9501
277	3652	9486
278	3665	9471
279	3675	9451
280	3685	9430
281	3694	9405
282	3708	9395
283	3721	9382
284	3734	9369
285	3745	9350
286	3759	9339
287	3772	9326
288	3786	9314
289	3798	9300
290	3811	9285
291	3825	9274
292	3838	9261
293	3852	9252
294	3867	9242
295	3882	9233
296	3904	9241
297	3917	9229
298	3927	9207
299	3937	9187
300	3949	9170
301	3965	9166
302	3976	9146
303	3986	9126
304	3998	9110
305	4006	9085
306	4017	9068
307	4024	9041
308	4036	9025
309	4046	9006
310	4053	8981
311	4064	8963
312	4073	8941
313	4084	8923
314	4093	8902
315	4101	8876
316	4112	8860
317	4120	8837
318	4131	8819
319	4140	8797
320	4149	8776
321	4159	8757
322	4167	8735
323	4177	8715
324	4185	8693
325	4196	8676
326	4207	8659
327	4219	8644
328	4233	8634
329	4248	8626
330	4263	8616
331	4277	8605
332	4291	8595
333	4304	8582
334	4317	8570
335	4331	8560
336	4345	8549
337	4360	8539
338	4375	8531
339	4391	8524
340	4406	8515
341	4415	8495
342	4427	8480
343	4438	8463
344	4446	8442
345	4457	8425
346	4470	8411
347	4481	8397
348	4495	8385
349	4507	8370
350	4520	8358
351	4529	8338
352	4541	8324
353	4558	8318
354	4571	8306
355	4582	8289
356	4591	8269
357	4602	8252
358	4610	8232
359	4621	8215
360	4629	8195
361	4639	8176
362	4650	8160
363	4659	8141
364	4669	8123
365	4679	8105
366	4688	8086
367	4698	8069
368	4707	8049
369	4716	8031
370	4724	8009
371	4737	7998
372	4751	7986
373	4778	7998
374	4791	7985
375	4806	7975
376	4819	7964
377	4832	7951
378	4845	7939
379	4856	7923
380	4870	7913
381	4883	7900
382	4898	7891
383	4913	7881
384	4928	7873
385	4939	7857
386	4950	7841
387	4960	7823
388	4969	7805
389	4983	7794
390	4996	7782
391	5010	7771
392	5023	7759
393	5035	7744
394	5050	7735
395	5064	7725
396	5077	7712
397	5090	7700
398	5101	7684
399	5114	7671
400	5127	7659
401	5140	7646
402	5151	7631
403	5163	7618
404	5176	7605
405	5187	7589
406	5198	7574
407	5211	7561
408	5225	7550
409	5238	7538
410	5250	7525
411	5262	7511
412	5275	7498
413	5289	7486
414	5302	7474
415	5317	7464
416	5332	7454
417	5347	7445
418	5359	7431
419	5372	7419
420	5385	7407
421	5398	7394
422	5410	7380
423	5424	7369
424	5437	7356
425	5449	7342
426	5461	7328
427	5474	7316
428	5488	7305
429	5500	7292
430	5514	7279
431	5525	7265
432	5540	7254
433	5554	7243
434	5568	7232
435	5581	7220
436	5594	7207
437	5606	7193
438	5620	7182
439	5634	7170
440	5648	7160
441	5662	7148
442	5676	7136
443	5688	7123
444	5700	7109
445	5714	7098
446	5730	7089
447	5744	7078
448	5760	7068
449	5772	7054
450	5785	7042
451	5799	7030
452	5812	7018
453	5826	7006
454	5839	6994
455	5852	6981
456	5865	6968
457	5877	6955
458	5888	6940
459	5900	6926
460	5912	6913
461	5926	6901
462	5940	6890
463	5951	6875
464	5965	6863
465	5978	6850
466	5990	6836
467	5999	6819
468	6008	6803
469	6019	6787
470	6028	6770
471	6038	6755
472	6046	6737
473	6057	6721
474	6066	6704
475	6075	6688
476	6085	6672
477	6094	6655
478	6105	6640
479	6113	6622
480	6123	6607
481	6133	6591
482	6143	6575
483	6154	6561
484	6164	6545
485	6176	6532
486	6186	6517
487	6196	6501
488	6205	6485
489	6216	6469
490	6223	6452
491	6234	6437
492	6242	6419
493	6252	6403
494	6259	6386
495	6269	6371
496	6278	6354
497	6286	6337
498	6295	6321
499	6303	6303
500	6313	6288
501	6322	6271
502	6331	6255
503	6339	6238
504	6350	6224
505	6362	6211
506	6374	6198
507	6386	6185
508	6398	6172
509	6412	6161
510	6429	6152
511	6438	6136
512	6448	6121
513	6456	6105
514	6466	6089
515	6476	6074
516	6484	6058
517	6495	6043
518	6504	6027
519	6515	6013
520	6528	6002
521	6542	5990
522	6554	5977
523	6567	5965
524	6582	5955
525	6595	5943
526	6608	5931
527	6620	5918
528	6632	5905
529	6645	5893
530	6659	5881
531	6672	5869
532	6684	5856
533	6698	5845
534	6712	5834
535	6728	5824
536	6742	5812
537	6755	5801
538	6768	5788
539	6780	5775
540	6795	5765
541	6812	5756
542	6828	5746
543	6842	5735
544	6855	5723
545	6866	5709
546	6876	5694
547	6887	5681
548	6894	5664
549	6905	5649
550	6915	5634
551	6924	5619
552	6934	5605
553	6942	5589
554	6952	5574
555	6960	5558
556	6969	5543
557	6979	5528
558	6987	5512
559	6998	5498
560	7006	5482
561	7016	5468
562	7024	5452
563	7033	5436
564	7040	5420
565	7050	5406
566	7058	5390
567	7070	5377
568	7081	5364
569	7092	5350
570	7105	5338
571	7118	5326
572	7132	5314
573	7143	5301
574	7153	5287
575	7165	5274
576	7176	5260
577	7185	5246
578	7196	5232
579	7203	5216
580	7213	5202
581	7222	5187
582	7233	5173
583	7245	5161
584	7257	5148
585	7266	5133
586	7277	5119
587	7285	5104
588	7295	5090
589	7303	5075
590	7315	5062
591	7327	5050
592	7342	5039
593	7355	5027
594	7367	5014
595	7381	5003
596	7394	4991
597	7408	4979
598	7422	4968
599	7437	4958
600	7452	4947
601	7464	4935
602	7478	4923
603	7491	4911
604	7503	4899
605	7515	4885
606	7527	4873
607	7539	4860
608	7551	4848
609	7562	4835
610	7575	4823
611	7589	4811
612	7603	4800
613	7616	4788
614	7628	4775
615	7641	4763
616	7653	4750
617	7663	4737
618	7676	4724
619	7688	4712
620	7701	4700
621	7714	4688
622	7727	4675
623	7740	4664
624	7751	4651
625	7764	4639
626	7777	4626
627	7790	4615
628	7802	4602
629	7815	4589
630	7828	4578
631	7843	4567
632	7856	4555
633	7869	4543
634	7882	4530
635	7896	4519
636	7909	4507
637	7921	4494
638	7933	4481
639	7947	4470
640	7959	4458
641	7972	4445
642	7985	4433
643	7996	4420
644	8009	4408
645	8023	4396
646	8035	4384
647	8048	4372
648	8061	4359
649	8075	4348
650	8088	4336
651	8101	4324
652	8114	4311
653	8126	4299
654	8138	4286
655	8150	4273
656	8163	4261
657	8175	4249
658	8189	4237
659	8202	4225
660	8215	4213
661	8224	4199
662	8234	4185
663	8242	4170
664	8253	4157
665	8263	4144
666	8271	4129
667	8281	4115
668	8289	4101
669	8298	4087
670	8306	4072
671	8317	4059
672	8329	4047
673	8340	4034
674	8354	4022
675	8371	4012
676	8385	4000
677	8398	3988
678	8409	3975
679	8418	3961
680	8428	3948
681	8436	3933
682	8446	3920
683	8455	3906
684	8464	3892
685	8477	3880
686	8485	3866
687	8495	3852
688	8503	3838
689	8514	3825
690	8522	3811
691	8532	3797
692	8541	3784
693	8550	3770
694	8560	3756
695	8571	3743
696	8581	3730
697	8591	3717
698	8599	3703
699	8610	3690
700	8619	3676
701	8628	3662
702	8637	3649
703	8646	3635
704	8656	3622
705	8665	3608
706	8676	3595
707	8688	3583
708	8696	3569
709	8706	3556
710	8715	3542
711	8725	3529
712	8735	3516
713	8744	3502
714	8754	3489
715	8762	3475
716	8775	3463
717	8787	3451
718	8796	3437
719	8807	3425
720	8817	3411
721	8824	3397
722	8834	3384
723	8844	3371
724	8856	3359
725	8866	3346
726	8877	3333
727	8890	3321
728	8904	3310
729	8918	3298
730	8930	3286
731	8942	3274
732	8954	3261
733	8967	3249
734	8979	3237
735	8989	3224
736	9003	3212
737	9016	3201
738	9026	3188
739	9035	3174
740	9044	3161
741	9053	3147
742	9064	3135
743	9076	3123
744	9089	3111
745	9101	3099
746	9115	3087
747	9129	3075
748	9141	3063
749	9154	3051
750	9167	3039
751	9180	3027
752	9194	3015
753	9208	3004
754	9220	2992
755	9234	2980
756	9248	2968
757	9261	2956
758	9274	2944
759	9287	2932
760	9300	2920
761	9314	2909
762	9327	2897
763	9338	2884
764	9351	2872
765	9364	2860
766	9377	2848
767	9391	2836
768	9403	2824
769	9416	2812
770	9428	2800
771	9442	2788
772	9456	2776
773	9469	2764
774	9481	2752
775	9494	2740
776	9507	2728
777	9522	2717
778	9535	2705
779	9547	2692
780	9558	2680
781	9569	2667
782	9578	2654
783	9592	2642
784	9603	2630
785	9613	2617
786	9623	2604
787	9633	2591
788	9641	2578
789	9651	2565
790	9659	2552
791	9670	2539
792	9681	2527
793	9692	2514
794	9702	2501
795	9711	2488
796	9721	2476
797	9734	2464
798	9742	2450
799	9753	2438
800	9764	2425
801	9773	2412
802	9783	2400
803	9792	2387
804	9801	2374
805	9811	2361
806	9820	2348
807	9830	2335
808	9839	2322
809	9851	2310
810	9863	2298
811	9872	2285
812	9884	2273
813	9896	2261
814	9906	2248
815	9917	2236
816	9928	2223
817	9939	2211
818	9950	2199
819	9961	2186
820	9971	2174
821	9986	2162
822	10000	2150
823	10013	2138
824	10024	2126
825	10036	2114
826	10049	2102
827	10062	2090
828	10075	2078
829	10086	2065
830	10100	2054
831	10113	2042
832	10126	2030
833	10139	2018
834	10152	2006
835	10165	1994
836	10179	1982
837	10191	1970
838	10203	1957
839	10216	1945
840	10229	1933
841	10241	1921
842	10255	1909
843	10265	1897
844	10278	1885
845	10291	1873
846	10303	1861
847	10316	1849
848	10328	1836
849	10342	1825
850	10355	1813
851	10368	1801
852	10381	1789
853	10393	1776
854	10406	1764
855	10420	1752
856	10434	1741
857	10446	1728
858	10459	1716
859	10470	1704
860	10478	1691
861	10486	1678
862	10494	1666
863	10502	1653
864	10511	1640
865	10520	1627
866	10529	1615
867	10543	1603
868	10555	1591
869	10568	1579
870	10579	1566
871	10591	1554
872	10604	1542
873	10614	1530
874	10624	1517
875	10633	1505
876	10643	1492
877	10655	1480
878	10666	1468
879	10675	1455
880	10685	1443
881	10696	1430
882	10709	1418
883	10722	1407
884	10734	1394
885	10744	1382
886	10757	1370
887	10770	1358
888	10783	1346
889	10794	1334
890	10806	1321
891	10817	1309
892	10831	1297
893	10843	1285
894	10854	1273
895	10865	1261
896	10874	1248
897	10885	1236
898	10896	1224
899	10906	1211
900	10918	1199
901	10931	1187
902	10941	1175
903	10952	1163
904	10966	1151
905	10980	1139
906	10992	1127
907	11005	1115
908	11018	1103
909	11031	1091
910	11044	1078
911	11057	1066
912	11070	1054
913	11085	1043
914	11100	1031
915	11113	1019
916	11127	1007
917	11141	995
918	11153	983
919	11167	971
920	11180	958
921	11194	946
922	11207	934
923	11219	922
924	11234	910
925	11249	899
926	11263	886
927	11276	874
928	11290	862
929	11302	850
930	11315	838
931	11329	826
932	11342	814
933	11355	802
934	11368	790
935	11380	778
936	11393	766
937	11407	754
938	11421	741
939	11433	729
940	11444	717
941	11457	705
942	11470	693
943	11482	681
944	11495	669
945	11519	657
946	11532	645
947	11544	633
948	11558	621
949	11572	609
950	11583	596
951	11596	584
952	11608	572
953	11623	560
954	11639	548
955	11652	536
956	11668	524
957	11683	512
958	11698	500
959	11707	487
960	11721	475
961	11733	463
962	11743	451
963	11754	438
964	11766	426
965	11776	414
966	11786	402
967	11799	390
968	11810	377
969	11819	365
970	11829	353
971	11837	341
972	11847	328
973	11855	316
974	11865	304
975	11873	291
976	11884	279
977	11892	267
978	11901	255
979	11912	243
980	11920	230
981	11931	218
982	11940	206
983	11950	194
984	11962	182
985	11973	170
986	11986	157
987	12000	145
988	12014	133
989	12028	121
990	12041	109
991	12054	97
992	12067	85
993	12079	72
994	12090	60
995	12101	48
996	12112	36
997	12123	24
998	12133	12
999	12143	0
