iter	MultiClass
0	1.56556976
1	1.529136467
2	1.499950147
3	1.475560948
4	1.44985788
5	1.427887284
6	1.404477625
7	1.383858652
8	1.370032933
9	1.355961027
10	1.343998145
11	1.330825642
12	1.320466984
13	1.307036675
14	1.298216501
15	1.288495086
16	1.283547845
17	1.273829383
18	1.266329079
19	1.253882768
20	1.241690463
21	1.236092871
22	1.228283349
23	1.220952751
24	1.212061689
25	1.203502584
26	1.200846724
27	1.194568122
28	1.188460801
29	1.183173889
30	1.179180406
31	1.174762887
32	1.170054691
33	1.165819429
34	1.159005826
35	1.154716194
36	1.151282365
37	1.149358361
38	1.146706964
39	1.142657706
40	1.140953418
41	1.138619638
42	1.134467972
43	1.129857128
44	1.123732532
45	1.119935928
46	1.115472153
47	1.112973737
48	1.111052079
49	1.107957816
50	1.105550735
51	1.100955377
52	1.097479184
53	1.095540773
54	1.094084422
55	1.091647638
56	1.089197254
57	1.085342653
58	1.082921385
59	1.080752555
60	1.079264393
61	1.076465173
62	1.073347771
63	1.07143636
64	1.069528106
65	1.067691851
66	1.065741123
67	1.06317626
68	1.062318897
69	1.060548407
70	1.058880688
71	1.058390102
72	1.056410785
73	1.05408463
74	1.052445827
75	1.050906252
76	1.048891329
77	1.047325342
78	1.046599099
79	1.044416837
80	1.04324862
81	1.039887891
82	1.038863642
83	1.037296153
84	1.034894788
85	1.032767181
86	1.031411452
87	1.030736337
88	1.029278804
89	1.027406882
90	1.026171506
91	1.02528911
92	1.022741629
93	1.021822246
94	1.019430198
95	1.018494334
96	1.017060824
97	1.015909201
98	1.014706748
99	1.013597188
100	1.012592115
101	1.010793429
102	1.00882216
103	1.007473508
104	1.005545219
105	1.003830915
106	1.002879061
107	1.001839198
108	1.00027847
109	0.9986466723
110	0.997071989
111	0.9958793351
112	0.9913488135
113	0.9899435952
114	0.9888912392
115	0.9845345927
116	0.9820755318
117	0.9805079612
118	0.978719528
119	0.9761469803
120	0.9757980131
121	0.9730568459
122	0.9717067169
123	0.9696500935
124	0.9687569858
125	0.9682582093
126	0.9640850021
127	0.9625525457
128	0.9613727758
129	0.9595122211
130	0.958493358
131	0.9570766731
132	0.9543258733
133	0.9533348521
134	0.9520512901
135	0.9506350941
136	0.9498531969
137	0.9489227314
138	0.9481846206
139	0.94722141
140	0.9453176014
141	0.9443700054
142	0.943567302
143	0.9429133497
144	0.9418884888
145	0.9405558794
146	0.9386892684
147	0.9369627523
148	0.9351345569
149	0.9341306579
150	0.9332275501
151	0.9326331898
152	0.9317865063
153	0.9304481687
154	0.9293479065
155	0.92770239
156	0.9264759841
157	0.9251444833
158	0.9225641419
159	0.9223041568
160	0.921196779
161	0.9199299971
162	0.9190563968
163	0.9171004341
164	0.9165296375
165	0.9155819139
166	0.9147218437
167	0.9137831367
168	0.9126109618
169	0.9113771439
170	0.9099680794
171	0.9080119735
172	0.9067775467
173	0.9045745802
174	0.9015310676
175	0.9008414717
176	0.9000544887
177	0.8993653281
178	0.8986405973
179	0.8977379041
180	0.8964977104
181	0.8958839018
182	0.894702652
183	0.8927778549
184	0.8904267777
185	0.8898281315
186	0.8889484835
187	0.8876585636
188	0.8864955143
189	0.885398621
190	0.8842424338
191	0.883413005
192	0.8825593318
193	0.8816534015
194	0.8812435359
195	0.8803424015
196	0.8768329962
197	0.8761449929
198	0.8754186623
199	0.8738798395
200	0.873110463
201	0.872757087
202	0.8722266787
203	0.8694075875
204	0.8672094604
205	0.8661467409
206	0.8651186063
207	0.8641817688
208	0.8637170126
209	0.8622105936
210	0.8615924172
211	0.8607398283
212	0.8600472359
213	0.8595852821
214	0.8592163917
215	0.858505809
216	0.8579632161
217	0.85726598
218	0.8567964402
219	0.8558831382
220	0.8546323023
221	0.8537382663
222	0.8530711452
223	0.8525880007
224	0.8511001855
225	0.849987367
226	0.8492015527
227	0.8480358452
228	0.8470612673
229	0.845307427
230	0.843432588
231	0.8427863638
232	0.8422171456
233	0.8412431504
234	0.8406787086
235	0.8403359832
236	0.839255129
237	0.8381385461
238	0.8378281694
239	0.8370353299
240	0.8362403833
241	0.8359733207
242	0.8352804166
243	0.8347595309
244	0.8331841613
245	0.8324903122
246	0.8315895553
247	0.8303804541
248	0.8292107399
249	0.8289327976
250	0.8275124626
251	0.8257519305
252	0.8248719551
253	0.8242666822
254	0.8236634515
255	0.8233572338
256	0.8226896551
257	0.822212216
258	0.8217975935
259	0.8214194299
260	0.8210170551
261	0.8204545594
262	0.8198842984
263	0.8186322344
264	0.8182038078
265	0.817833144
266	0.8170904076
267	0.8164606617
268	0.8157399679
269	0.8151510738
270	0.8148338689
271	0.8136712465
272	0.8124571754
273	0.811665447
274	0.8109687807
275	0.8101754723
276	0.8086918265
277	0.8083319625
278	0.8074924177
279	0.806902023
280	0.8061093149
281	0.8058055112
282	0.804148626
283	0.8035472746
284	0.8029255904
285	0.8016232018
286	0.8010953648
287	0.8006285823
288	0.8001057572
289	0.7997375822
290	0.7988419788
291	0.7983143642
292	0.7975339524
293	0.7970112603
294	0.794808328
295	0.7940552627
296	0.7934792666
297	0.7930343635
298	0.7920679499
299	0.7917320956
300	0.7910644561
301	0.7906155367
302	0.7900696232
303	0.7896781182
304	0.7889018642
305	0.787211387
306	0.7866933829
307	0.7860947281
308	0.7853958124
309	0.7846653987
310	0.7842196983
311	0.783877349
312	0.7826678805
313	0.7824352469
314	0.7820778365
315	0.7801096009
316	0.7781425155
317	0.7774423843
318	0.7771525054
319	0.7766076039
320	0.7762015381
321	0.7749486655
322	0.7742039606
323	0.7739201286
324	0.7724685883
325	0.7721603956
326	0.7711635142
327	0.7703895887
328	0.7696388077
329	0.7685530074
330	0.7680374065
331	0.7667601721
332	0.7663414753
333	0.7656117678
334	0.7651425698
335	0.7645577848
336	0.7638006608
337	0.7632562869
338	0.7627880374
339	0.7619823959
340	0.7614298666
341	0.7610303297
342	0.7606692645
343	0.760138349
344	0.759745116
345	0.7593924406
346	0.75889415
347	0.7575699255
348	0.7565801358
349	0.7561425948
350	0.7558477078
351	0.7553589876
352	0.7543206269
353	0.7538382239
354	0.753468344
355	0.7531821515
356	0.7527187003
357	0.7524173485
358	0.7493865617
359	0.7488986389
360	0.7483329889
361	0.7474974064
362	0.7469196293
363	0.7465714351
364	0.7457859506
365	0.7455358944
366	0.7442940231
367	0.7438990009
368	0.7436864559
369	0.7426183999
370	0.7422264952
371	0.7407979298
372	0.740550409
373	0.7402412832
374	0.7398040729
375	0.7394715315
376	0.7380485591
377	0.7370409721
378	0.7359208402
379	0.7356356347
380	0.7349818011
381	0.7347349938
382	0.7340453167
383	0.7326125844
384	0.7314679839
385	0.7310394421
386	0.7307760652
387	0.7304584809
388	0.7295055819
389	0.7286763263
390	0.7283043594
391	0.7274127344
392	0.7265607465
393	0.7260900272
394	0.7253585866
395	0.7245689503
396	0.7241040042
397	0.7237005058
398	0.7235304526
399	0.7229361612
400	0.7216755666
401	0.7202818368
402	0.7193290571
403	0.7188099731
404	0.7179255363
405	0.717206943
406	0.7160577355
407	0.7156163849
408	0.7150619727
409	0.7141594506
410	0.713131643
411	0.7128907395
412	0.7123230249
413	0.7113925487
414	0.7111491997
415	0.7106825562
416	0.7102309413
417	0.7095788712
418	0.7083726292
419	0.707592059
420	0.7067157449
421	0.7060985663
422	0.7058509617
423	0.7055158642
424	0.7051762993
425	0.7045806514
426	0.7042394725
427	0.7040088727
428	0.7031579341
429	0.7028210405
430	0.7017598939
431	0.7005928656
432	0.6996123958
433	0.6989644871
434	0.6986037567
435	0.6983000961
436	0.6976706249
437	0.6971394482
438	0.696721185
439	0.6963173358
440	0.6942750045
441	0.6939486616
442	0.6937853315
443	0.6933447837
444	0.6921371408
445	0.6914242014
446	0.6912148959
447	0.6909592843
448	0.690234541
449	0.6897514296
450	0.688507352
451	0.6874520089
452	0.6867681184
453	0.6862319624
454	0.6851128869
455	0.6848616277
456	0.6841365534
457	0.6833771791
458	0.6830620748
459	0.6827085114
460	0.6824650071
461	0.6819983598
462	0.6816050618
463	0.6805321257
464	0.6796980955
465	0.679467545
466	0.6792943489
467	0.6788836359
468	0.6786024409
469	0.678361326
470	0.6776358268
471	0.6770634619
472	0.6768202671
473	0.6765619609
474	0.6755091792
475	0.6751663461
476	0.6746412002
477	0.6729628066
478	0.6724987475
479	0.6720544809
480	0.6714525704
481	0.6712694046
482	0.6708607308
483	0.6703531022
484	0.6694105573
485	0.6691747967
486	0.6686100731
487	0.668167529
488	0.6678248302
489	0.6670096351
490	0.666434067
491	0.6661789778
492	0.6648015056
493	0.6645890176
494	0.6642477195
495	0.6639805828
496	0.6631061704
497	0.6628989144
498	0.6624329213
499	0.6619912604
500	0.6615263256
501	0.6610884381
502	0.6603322156
503	0.6601279156
504	0.6592800575
505	0.6587406079
506	0.6584731951
507	0.6580078705
508	0.6574702586
509	0.6572824044
510	0.6563802298
511	0.6560898687
512	0.655651998
513	0.6552293747
514	0.6548957484
515	0.6545923632
516	0.6541146956
517	0.6538743231
518	0.6537017219
519	0.6532636773
520	0.6528229227
521	0.6523728389
522	0.6519329612
523	0.6515710216
524	0.6513293517
525	0.6507412922
526	0.6502571806
527	0.6500775827
528	0.6497572049
529	0.6495583151
530	0.648933395
531	0.6476643855
532	0.6474963131
533	0.6463825061
534	0.6457229056
535	0.645205713
536	0.6447049999
537	0.644306638
538	0.6432429111
539	0.6427575366
540	0.6419085813
541	0.6415919325
542	0.6413008561
543	0.6408060908
544	0.6400678485
545	0.6397558231
546	0.6394623176
547	0.6390428056
548	0.6388389536
549	0.6386247894
550	0.6384734246
551	0.6378225484
552	0.6375484003
553	0.6367764017
554	0.6364436272
555	0.6361279763
556	0.6355789594
557	0.6352211938
558	0.6343494879
559	0.6337222626
560	0.6334424011
561	0.6330299111
562	0.6325456016
563	0.6322595949
564	0.6320429916
565	0.6318846053
566	0.6317605691
567	0.6309574404
568	0.6307968718
569	0.6304543137
570	0.6302751375
571	0.6297816097
572	0.6290849299
573	0.6276200025
574	0.6273821075
575	0.6269895273
576	0.6267825758
577	0.6258038944
578	0.625461592
579	0.6252422639
580	0.624904887
581	0.6245678141
582	0.6243031043
583	0.6241499418
584	0.6237340617
585	0.6232723777
586	0.6218083038
587	0.6212822797
588	0.6209532744
589	0.6207141973
590	0.620512745
591	0.6202138605
592	0.6199272122
593	0.6196507203
594	0.6194813847
595	0.6193107721
596	0.6190642976
597	0.6183088953
598	0.618070108
599	0.6177430111
600	0.6175903927
601	0.6162811171
602	0.6160637965
603	0.6156416649
604	0.6152938872
605	0.6146031643
606	0.614050242
607	0.6130461351
608	0.612765141
609	0.6125795337
610	0.6122591703
611	0.6117861273
612	0.6113822182
613	0.6109446402
614	0.6104216574
615	0.6100932699
616	0.6087181487
617	0.6084268798
618	0.6078947302
619	0.6077711694
620	0.6076603096
621	0.607517209
622	0.6071450962
623	0.6067196474
624	0.606582621
625	0.6061154976
626	0.6057195488
627	0.6055574989
628	0.605130298
629	0.6047365557
630	0.6045758724
631	0.604391417
632	0.6042424022
633	0.6034947486
