iter	Passed	Remaining
0	5	10631
1	10	10299
2	15	10469
3	20	10367
4	25	10253
5	31	10371
6	35	10158
7	40	10014
8	44	9861
9	49	9870
10	54	9817
11	58	9766
12	64	9802
13	68	9760
14	73	9718
15	78	9752
16	83	9788
17	88	9732
18	92	9692
19	98	9761
20	104	9834
21	108	9797
22	114	9871
23	119	9865
24	124	9865
25	130	9906
26	135	9904
27	140	9909
28	146	9976
29	152	9981
30	156	9940
31	161	9933
32	166	9944
33	171	9921
34	176	9929
35	181	9925
36	186	9888
37	187	9675
38	192	9679
39	197	9680
40	202	9683
41	207	9653
42	212	9678
43	217	9649
44	221	9620
45	226	9619
46	231	9603
47	235	9580
48	240	9569
49	247	9651
50	251	9627
51	256	9591
52	261	9620
53	265	9583
54	270	9556
55	275	9561
56	280	9545
57	284	9530
58	289	9525
59	294	9511
60	298	9487
61	302	9457
62	307	9467
63	312	9456
64	317	9446
65	322	9437
66	326	9428
67	331	9417
68	335	9398
69	341	9403
70	345	9384
71	350	9374
72	354	9359
73	357	9303
74	362	9296
75	366	9284
76	371	9284
77	376	9272
78	380	9259
79	385	9249
80	390	9260
81	396	9264
82	400	9250
83	405	9237
84	410	9239
85	414	9220
86	419	9220
87	423	9206
88	428	9191
89	432	9172
90	437	9167
91	441	9151
92	445	9137
93	449	9123
94	454	9107
95	458	9098
96	463	9085
97	467	9081
98	472	9069
99	476	9060
100	480	9042
101	485	9041
102	490	9029
103	494	9022
104	499	9020
105	504	9012
106	508	8998
107	513	8987
108	518	8990
109	524	9003
110	528	8992
111	533	8997
112	538	8988
113	543	8986
114	548	8993
115	553	8990
116	558	8983
117	562	8974
118	568	8980
119	572	8973
120	577	8963
121	582	8973
122	587	8963
123	591	8953
124	596	8945
125	601	8944
126	605	8934
127	610	8925
128	615	8922
129	619	8911
